x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.4191,4.1786,2.5828,11.9677,2.6827,0.0425,-0.8538,0,1,0,0.50396,1
0.4396,4.3562,2.5363,11.5927,-1.6895,0.0022,-0.5183,0,1,0,0.27006,3
0.4314,4.2437,2.5444,12.6150,-1.2660,0.0076,-1.4177,0,1,0,1.33539,1
0.4846,4.7364,2.4325,12.3792,0.0111,0.0173,-1.3833,0,1,0,0.81516,1
0.4227,4.5121,2.6540,12.0719,2.6097,0.0271,-0.9330,0,1,0,0.46167,3
0.4556,4.3109,2.4560,11.8155,-2.2205,0.0027,-0.7429,0,1,0,0.33991,3
0.4266,4.1792,2.5491,12.0525,-3.1413,0.0126,-0.9044,0,1,0,0.56966,1
0.3502,3.8321,2.8269,12.5898,-3.0046,0.0582,-1.1886,0,1,1,1.47170,1
0.4805,4.6435,2.4293,11.6676,1.0290,0.0081,-0.6594,0,1,0,0.19892,3
0.3706,3.9386,2.7512,12.6218,-2.1731,0.0127,-1.2168,0,1,1,1.41056,1
0.4412,4.5897,2.5872,12.2181,-1.4051,0.0175,-1.0992,0,1,0,0.75622,1
0.4409,4.7780,2.6341,11.6822,2.9005,0.0627,-0.6740,0,1,0,0.18652,3
0.4620,4.5376,2.4827,11.5256,-2.3828,0.0236,-0.5181,0,1,0,0.21278,1
0.4246,4.3231,2.5962,11.7350,2.8109,0.0145,-0.6304,0,1,0,0.18774,3
0.4014,4.4094,2.7305,12.6743,-2.5021,0.1051,-1.5148,0,1,0,1.47677,1
0.3966,3.9988,2.6392,11.9933,1.8538,0.0045,-0.7742,0,1,0,0.55940,1
0.4373,4.3872,2.5546,12.5719,1.2599,0.0094,-1.4022,0,0,0,0.00000,1
0.5819,5.4794,2.1950,11.9676,1.4078,0.0224,-1.2110,0,1,0,0.45619,1
0.4794,5.0710,2.5272,11.8277,1.6028,0.0113,-0.8169,0,1,0,0.44787,1
0.5721,5.2533,2.1931,11.9385,-0.1013,0.0043,-1.1263,0,1,0,0.47447,1
0.4280,4.5649,2.6420,11.8508,2.0233,0.0260,-0.7514,0,1,0,0.31231,3
0.4998,5.3057,2.4881,11.6996,-1.1951,0.0053,-0.7243,0,1,0,0.39867,1
0.5098,4.9626,2.3774,11.9473,0.5919,0.0579,-1.0638,0,0,0,0.00000,1
0.4154,4.2035,2.6070,12.4543,-2.7291,0.0593,-1.2963,0,2,0,0.74222,1
0.4210,4.2103,2.5826,11.7725,2.3939,0.0318,-0.6772,0,1,0,0.31076,3
0.4206,4.2150,2.5860,11.8993,2.9794,0.0444,-0.8006,0,1,0,0.38906,1
0.5087,4.6252,2.3125,12.0969,-0.9082,0.0173,-1.1586,0,1,0,0.41915,1
0.3742,3.8791,2.7145,12.5495,-2.3461,0.0673,-1.2532,0,1,0,1.32583,1
0.4968,5.3543,2.5108,12.1044,0.3760,0.0007,-1.1187,0,1,0,0.41363,1
0.3684,4.0657,2.8017,11.4136,-2.8489,0.0438,-0.3335,0,1,0,0.14133,0
0.3561,3.8556,2.8024,11.9710,2.9533,0.1572,-0.8645,0,1,0,0.48287,1
0.4181,4.4658,2.6639,11.9465,-2.4189,0.0223,-0.8078,0,1,0,0.47542,3
0.4138,4.5354,2.7030,12.3600,-2.7867,0.0750,-1.2290,0,0,0,0.00000,3
0.3597,3.9196,2.8033,12.7085,2.6555,0.0403,-1.2888,0,1,1,1.45903,1
0.4755,4.6505,2.4518,11.9883,2.9200,0.0084,-0.9568,0,1,0,0.49774,1
0.4709,4.9289,2.5336,12.0064,-0.8714,0.0110,-0.9689,0,1,0,0.66957,1
0.4280,4.3643,2.5910,11.6971,-2.3249,0.0017,-0.5885,0,1,0,0.25315,3
0.3800,4.1443,2.7646,11.7814,2.6677,0.1352,-0.7372,0,1,0,0.40266,3
0.3328,3.6444,2.8612,12.4802,-2.2518,0.0521,-1.0400,0,1,0,1.34492,1
0.4938,5.3334,2.5196,12.1583,1.3328,0.0222,-1.1952,0,1,0,0.62223,1
0.4297,4.3975,2.5918,12.5269,-2.0975,0.0192,-1.3497,0,1,1,0.92151,1
0.5314,5.1601,2.3305,11.9439,-1.0850,0.0341,-1.0787,0,1,0,0.46550,1
0.4238,4.2970,2.5930,12.9308,2.9494,0.0126,-1.6917,1,2,2,1.70911,1
0.4756,4.8810,2.5024,12.4962,2.0846,0.0527,-1.5289,0,1,1,1.10831,1
0.4267,4.4287,2.6137,11.6243,-1.7003,0.0009,-0.5243,0,1,0,0.29675,1
0.3736,3.9123,2.7279,11.8883,-2.4641,0.0677,-0.7241,0,1,0,0.48808,3
0.3755,4.0453,2.7581,12.4652,2.6348,0.0396,-1.1475,0,1,0,1.03539,1
0.6267,5.9030,2.0968,12.3354,1.1465,0.0251,-1.8040,0,1,0,0.52515,1
0.4499,4.5606,2.5411,11.9341,-3.1132,0.0336,-0.8815,0,1,0,0.24984,1
0.4014,4.1487,2.6584,11.7538,2.6979,0.0075,-0.5959,0,1,0,0.43048,3
0.4062,4.1492,2.6357,11.7360,-2.3942,0.0271,-0.6143,0,1,0,0.44980,3
0.4506,4.8480,2.6062,12.7575,1.5193,0.0163,-1.6434,0,1,1,1.52277,1
0.5146,4.8784,2.3412,12.3259,2.4009,0.0076,-1.4059,0,2,0,0.97790,1
0.4291,4.5920,2.6438,11.9720,1.8390,0.0063,-0.8339,0,1,0,0.65803,1
0.3809,3.9585,2.7047,12.3201,2.4866,0.0413,-1.0486,0,2,0,0.65123,1
0.4608,4.8880,2.5692,11.9944,2.1066,0.0218,-0.9480,0,1,0,0.57579,3
0.5301,5.3894,2.3786,12.7330,1.4088,0.0089,-1.9198,0,1,1,1.44907,1
0.5088,5.1139,2.4119,11.8410,-1.1378,0.0255,-0.9090,0,1,0,0.53793,3
0.4625,4.3765,2.4425,11.7901,-1.0383,0.0545,-0.8006,0,1,0,0.30946,3
0.3767,3.9961,2.7375,12.3350,-2.7923,0.1067,-1.1408,1,1,0,0.96673,1
0.5033,4.9650,2.4041,11.9560,-1.0040,0.0203,-1.0070,0,1,0,0.46776,3
0.5201,5.3829,2.4181,12.8025,1.8426,0.0243,-1.9854,0,1,1,1.29105,1
0.4411,4.2799,2.5107,12.1677,2.3940,0.0374,-1.0791,0,1,0,0.55122,1
0.4914,5.2854,2.5201,11.9507,-1.8519,0.0286,-0.9873,0,1,0,0.43534,3
0.4510,4.7292,2.5764,11.9307,-1.7002,0.0359,-0.8844,0,1,0,0.66000,3
0.4599,4.7550,2.5427,12.7761,-3.0742,0.0012,-1.6725,0,1,0,1.38527,1
0.4697,4.8207,2.5145,12.3539,2.3966,0.0498,-1.3603,0,1,0,0.73992,1
0.4085,4.0357,2.5933,11.8933,3.0751,0.0248,-0.7444,0,1,0,0.42088,3
0.4067,4.2986,2.6741,13.1831,2.5227,0.0441,-1.9085,1,1,1,1.18686,1
0.3795,3.9792,2.7177,12.3575,-1.8167,0.0114,-1.0321,0,1,0,1.06435,1
0.4415,4.5427,2.5744,11.9533,-3.0090,0.0364,-0.8839,0,1,0,0.36656,1
0.5550,5.7051,2.3356,12.2188,-1.6955,0.0345,-1.4531,0,0,2,0.37709,1
0.4249,4.4624,2.6304,12.4355,-2.9963,0.0117,-1.2401,0,1,0,1.03282,1
0.5307,5.6193,2.4188,11.9104,0.2222,0.0159,-1.0196,0,1,0,0.62899,1
0.3598,3.8858,2.7920,13.2159,-2.8617,0.0710,-1.7594,0,1,1,2.01325,1
0.3811,3.9292,2.6945,12.0976,2.4207,0.0402,-0.8690,0,1,0,0.59734,3
0.4148,4.2386,2.6190,11.9797,1.4141,0.0096,-0.8113,1,1,0,0.39453,1
0.4306,4.6533,2.6523,12.3208,-1.9016,0.0457,-1.2031,0,1,0,0.89129,3
0.4776,4.4925,2.4071,11.9938,0.6518,0.0003,-0.9547,0,1,0,0.45933,1
0.5052,4.8229,2.3675,11.6604,1.6151,0.0194,-0.7097,0,1,0,0.44964,3
0.5334,5.2152,2.3328,12.3814,1.4261,0.0458,-1.5873,0,1,1,0.76146,1
0.4685,4.9983,2.5593,12.1472,-2.4542,0.0790,-1.1929,0,1,0,0.80269,1
0.3909,4.2601,2.7418,11.7546,2.3048,0.0978,-0.6898,0,1,0,0.46230,3
0.5000,5.2846,2.4828,12.0630,2.7412,0.0393,-1.1368,0,1,0,0.42989,1
0.5675,5.2624,2.2117,11.8783,0.6134,0.1410,-1.2351,0,1,1,0.60652,1
0.4456,4.5761,2.5640,11.5682,-3.1235,0.0307,-0.5412,0,1,0,0.17808,3
0.4269,4.5607,2.6461,11.8612,2.8308,0.0052,-0.7318,0,1,0,0.21902,1
0.4635,4.8177,2.5409,11.8582,2.9154,0.0616,-0.8772,0,1,0,0.42325,1
0.4624,4.5588,2.4859,12.1725,2.1957,0.0244,-1.1234,0,1,0,0.58516,1
0.3474,3.8246,2.8401,11.6681,-3.1059,0.0289,-0.4684,0,1,0,0.30239,0
