Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm,MMa
4.520000,0.308806,0.117472,10.700000,22.002538,2.900000,0.139153,7.736141,10.941543,3.316233,1.000873,5.863711,0.000000,9.694191
4.520000,0.309202,0.117828,10.700000,21.964230,2.910000,0.329750,7.725950,10.960256,3.313402,1.001062,5.884405,0.000000,9.681865
4.520000,0.309599,0.118184,10.700000,21.926121,2.920000,0.798522,7.715758,10.974793,3.310569,1.001252,5.906306,0.000000,9.668743
4.520000,0.309998,0.118543,10.700000,21.888210,2.930000,1.266860,7.705565,10.985200,3.307734,1.001443,5.929579,0.000000,9.654712
4.520000,0.310397,0.118903,10.700000,21.850495,2.940000,1.734469,7.695372,10.991524,3.304896,1.001635,5.954168,0.000000,9.639793
4.520000,0.310798,0.119265,10.700000,21.812974,2.950000,2.201061,7.685177,10.993811,3.302056,1.001828,5.980002,0.000000,9.624015
4.520000,0.311199,0.119628,10.700000,21.775646,2.960000,2.666357,7.674982,10.992110,3.299213,1.002021,6.007001,0.000000,9.607414
4.520000,0.311602,0.119993,10.700000,21.738509,2.970000,3.130085,7.664786,10.986469,3.296368,1.002216,6.035077,0.000000,9.590032
4.520000,0.312006,0.120360,10.700000,21.701561,2.980000,3.591977,7.654589,10.976936,3.293520,1.002411,6.064132,0.000000,9.571918
4.520000,0.312410,0.120728,10.700000,21.664801,2.990000,4.051775,7.644391,10.963560,3.290670,1.002607,6.094059,0.000000,9.553125
4.520000,0.312816,0.121098,10.700000,21.628227,3.000000,4.509221,7.634192,10.946392,3.287818,1.002805,6.124747,0.000000,9.533713
4.520000,0.313223,0.121470,10.700000,21.591838,3.010000,4.964067,7.623992,10.925482,3.284963,1.003003,6.156079,0.000000,9.513748
4.520000,0.313631,0.121843,10.700000,21.555632,3.020000,5.416066,7.613791,10.900879,3.282105,1.003202,6.187931,0.000000,9.493299
4.520000,0.314040,0.122218,10.700000,21.519607,3.030000,5.864975,7.603590,10.872635,3.279245,1.003402,6.220178,0.000000,9.472441
4.520000,0.314449,0.122595,10.700000,21.483762,3.040000,6.310556,7.593387,10.840800,3.276383,1.003603,6.252690,0.000000,9.451252
4.520000,0.314861,0.122974,10.700000,21.448096,3.050000,6.752573,7.583183,10.805426,3.273518,1.003804,6.285336,0.000000,9.429816
4.520000,0.315273,0.123355,10.700000,21.412607,3.060000,7.190792,7.572979,10.766564,3.270650,1.004007,6.317982,0.000000,9.408219
4.520000,0.315686,0.123737,10.700000,21.377294,3.070000,7.624983,7.562774,10.724265,3.267780,1.004211,6.350495,0.000000,9.386549
4.520000,0.316100,0.124121,10.700000,21.342155,3.080000,8.054915,7.552567,10.678581,3.264908,1.004415,6.382741,0.000000,9.364900
4.520000,0.316516,0.124507,10.700000,21.307188,3.090000,8.480361,7.542360,10.629563,3.262032,1.004621,6.414586,0.000000,9.343365
4.520000,0.316932,0.124894,10.700000,21.272393,3.100000,8.901093,7.532152,10.577265,3.259155,1.004828,6.445898,0.000000,9.322042
4.520000,0.317350,0.125284,10.700000,21.237768,3.110000,9.316885,7.521942,10.521736,3.256275,1.005035,6.476545,0.000000,9.301029
4.520000,0.317768,0.125675,10.700000,21.203311,3.120000,9.727510,7.511732,10.463029,3.253392,1.005244,6.506398,0.000000,9.280425
4.520000,0.318188,0.126068,10.700000,21.169022,3.130000,10.132743,7.501521,10.401196,3.250507,1.005453,6.535330,0.000000,9.260330
4.520000,0.318609,0.126463,10.700000,21.134898,3.140000,10.532356,7.491309,10.336287,3.247619,1.005664,6.563216,0.000000,9.240845
4.520000,0.319031,0.126860,10.700000,21.100939,3.150000,10.926122,7.481095,10.268355,3.244728,1.005875,6.589934,0.000000,9.222070
4.520000,0.319454,0.127258,10.700000,21.067143,3.160000,11.313812,7.470881,10.197451,3.241836,1.006087,6.615365,0.000000,9.204106
4.520000,0.319878,0.127659,10.700000,21.033509,3.170000,11.695195,7.460666,10.123626,3.238940,1.006301,6.639394,0.000000,9.187052
4.520000,0.320304,0.128062,10.700000,21.000036,3.180000,12.070041,7.450450,10.046931,3.236042,1.006515,6.661907,0.000000,9.171005
4.520000,0.320730,0.128466,10.700000,20.966722,3.190000,12.438115,7.440232,9.967416,3.233141,1.006731,6.682795,0.000000,9.156062
4.520000,0.321158,0.128872,10.700000,20.933565,3.200000,12.799181,7.430014,9.885132,3.230238,1.006947,6.701954,0.000000,9.142316
4.520000,0.321587,0.129280,10.700000,20.900566,3.210000,13.152999,7.419795,9.800129,3.227332,1.007165,6.719282,0.000000,9.129859
4.520000,0.322016,0.129691,10.700000,20.867722,3.220000,13.499329,7.409574,9.712456,3.224423,1.007383,6.734679,0.000000,9.118778
4.520000,0.322448,0.130103,10.700000,20.835033,3.230000,13.837924,7.399353,9.622163,3.221512,1.007603,6.748052,0.000000,9.109160
4.520000,0.322880,0.130517,10.700000,20.802497,3.240000,14.168536,7.389130,9.529299,3.218598,1.007824,6.759310,0.000000,9.101084
4.520000,0.323313,0.130933,10.700000,20.770113,3.250000,14.490912,7.378907,9.433912,3.215682,1.008046,6.768366,0.000000,9.094628
4.520000,0.323748,0.131351,10.700000,20.737879,3.260000,14.804795,7.368682,9.336051,3.212763,1.008268,6.775135,0.000000,9.089864
4.520000,0.324183,0.131771,10.700000,20.705796,3.270000,15.109925,7.358456,9.235763,3.209841,1.008492,6.779539,0.000000,9.086859
4.520000,0.324620,0.132193,10.700000,20.673860,3.280000,15.406035,7.348230,9.133094,3.206916,1.008717,6.781500,0.000000,9.085676
4.520000,0.325058,0.132617,10.700000,20.642072,3.290000,15.692854,7.338002,9.028092,3.203989,1.008943,6.780946,0.000000,9.086371
4.520000,0.325498,0.133044,10.700000,20.610430,3.300000,15.970107,7.327773,8.920802,3.201059,1.009170,6.777807,0.000000,9.088997
4.520000,0.325938,0.133472,10.700000,20.578934,3.310000,16.237511,7.317543,8.811270,3.198127,1.009398,6.772017,0.000000,9.093596
4.520000,0.326380,0.133902,10.700000,20.547581,3.320000,16.494780,7.307311,8.699539,3.195192,1.009628,6.763512,0.000000,9.100210
4.520000,0.326823,0.134335,10.700000,20.516371,3.330000,16.741621,7.297079,8.585654,3.192254,1.009858,6.752232,0.000000,9.108869
4.520000,0.327267,0.134769,10.700000,20.485303,3.340000,16.977735,7.286846,8.469657,3.189313,1.010090,6.738121,0.000000,9.119601
4.520000,0.327712,0.135206,10.700000,20.454376,3.350000,17.202816,7.276611,8.351591,3.186370,1.010322,6.721123,0.000000,9.132424
4.520000,0.328158,0.135645,10.700000,20.423588,3.360000,17.416552,7.266375,8.231497,3.183424,1.010556,6.701189,0.000000,9.147351
4.520000,0.328606,0.136085,10.700000,20.392939,3.370000,17.618626,7.256139,8.109414,3.180475,1.010791,6.678268,0.000000,9.164389
4.520000,0.329055,0.136528,10.700000,20.362428,3.380000,17.808711,7.245901,7.985384,3.177524,1.011027,6.652316,0.000000,9.183536
4.520000,0.329505,0.136974,10.700000,20.332053,3.390000,17.986476,7.235661,7.859442,3.174570,1.011265,6.623288,0.000000,9.204786
4.520000,0.329957,0.137421,10.700000,20.301813,3.400000,18.151582,7.225421,7.731628,3.171613,1.011503,6.591143,0.000000,9.228124
4.520000,0.330409,0.137871,10.700000,20.271708,3.410000,18.303684,7.215180,7.601975,3.168653,1.011743,6.555842,0.000000,9.253529
